sweater,clothes,0.8421052631578947,"[{""name"": ""sweater"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""sweater"", ""classification"": ""allowed"", ""info"": """"}]"
water,juice,0.46153846153846156,"[{""name"": ""empty water bottle"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""salt"", ""classification"": ""allowed"", ""info"": """"}]"
bottle,cup,0.8235294117647058,"[{""name"": ""bottle opener"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""empty water bottle"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""wine bottle"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\n All of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\n All of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}]","[{""name"": ""inhaler"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nPassengers with reduced mobility or other health issues who depend on certain devices or medical equipment may carry the following items free of charge (in addition to the freehand luggage allowance):\n2 wheelchairs\n2 pairs of crutches and/or braces or any other prosthetic device\nMedical equipment such as pacemakers, insulin pumps, electric neuron stimulator\u2026 needed during the flight. \n""}]"
pants,shorts,0.782608695652174,[],"[{""name"": ""sweater"", ""classification"": ""allowed"", ""info"": """"}]"
sunglasses,glasses,0.9523809523809523,"[{""name"": ""sunglasses"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""sunglasses"", ""classification"": ""allowed"", ""info"": """"}]"
sunscreen,lotion,0.8235294117647058,[],"[{""name"": ""electronic toothbrush"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""toothbrush"", ""classification"": ""allowed"", ""info"": """"}]"
shampoo,soap,0.9090909090909091,"[{""name"": ""dry shampoo"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\n All of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\n All of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}, {""name"": ""shampoo"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\n All of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\n All of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}]","[{""name"": ""dry shampoo"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\n All of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\n All of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}, {""name"": ""shampoo"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\n All of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\n All of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}]"
passport,id card,0,[],[]
headphones,earpods,0,"[{""name"": ""headphones"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nElectronic devices larger than 15 x 21 cm, including laptops, full-size video-game consoles, full-size DVD players... must be removed from their cases, placed in a separate bin, and screened individually at the security checkpoint. Portable electronic items that are smaller than 15 x 21 cm, do not have to be removed from baggage during screening. \n""}]",[]
knife,gun,0.5454545454545454,[],"[{""name"": ""cleaver"", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}]"
knife,weapon,0.5714285714285714,[],"[{""name"": ""cleaver"", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}]"
